id,country_id,e_date,wikipedia,seats_total,electorate,votes_cast,votes_valid,description,previous_parliament_election_id,previous_ep_election_id,e_type
18,54,13/06/2004,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(Germany)",99,61682394,26523104,25783678,,385,417,European Parliament
37,44,10/06/1979,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_(United_Kingdom)",81,41155166,13446091,13397858,,243,,European Parliament
160,43,13/06/2004,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(France)",78,41509136,17763671,17168682,,403,273,European Parliament
196,44,10/06/2004,"http://en.wikipedia.org/wiki/European_Parliament_election,_2004_(United_Kingdom)",78,44157267,1700780,16869020,,208,686,European Parliament
219,43,07/06/2009,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(France)",72,44282823,17992161,17218614,,171,160,European Parliament
222,44,17/06/1984,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_(United_Kingdom)",81,42493122,13998190,13961422,,290,37,European Parliament
231,54,07/06/2009,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(Germany)",99,62222873,26923614,26333444,,118,18,European Parliament
273,43,13/06/1999,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(France)",87,40132517,18766155,17647172,,479,680,European Parliament
296,54,18/06/1989,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(West_Germany)",81,45773179,28508598,28206690,,588,610,European Parliament
351,44,09/06/1994,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(United_Kingdom)",87,43441774,15852589,15811039,,514,682,European Parliament
360,43,18/06/1989,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(France)",81,38297496,18690692,18151416,,643,415,European Parliament
361,54,10/06/1979,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_(West_Germany)",81,42751940,28098872,27847109,,163,,European Parliament
410,44,04/06/2009,"http://en.wikipedia.org/wiki/European_Parliament_election,_2009_(United_Kingdom)",72,45312626,15235619,15136932,,233,196,European Parliament
415,43,17/06/1984,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_%28France%29",81,36880688,20911350,20180934,,20,677,European Parliament
417,54,13/06/1999,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(Germany)",99,60786904,27468932,27059273,,679,540,European Parliament
540,54,12/06/1994,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(Germany)",99,60473927,36295529,35411414,,445,296,European Parliament
610,54,17/06/1984,"http://en.wikipedia.org/wiki/European_Parliament_election,_1984_(West_Germany)",81,44465989,25238754,24851371,,484,361,European Parliament
677,43,10/06/1979,"http://en.wikipedia.org/wiki/European_Parliament_election,_1979_%28France%29",81,35180531,21356960,20242347,,496,,European Parliament
680,43,12/06/1994,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(France)",87,39019797,20584980,19487470,,664,360,European Parliament
682,44,15/06/1989,"http://en.wikipedia.org/wiki/European_Parliament_election,_1989_(United_Kingdom)",81,43180720,15896078,15870465,,490,222,European Parliament
686,44,10/06/1999,"http://en.wikipedia.org/wiki/European_Parliament_election,_1999_(United_Kingdom)",87,44458638,10681062,10656080,,315,351,European Parliament
824,43,24/05/2014,"http://en.wikipedia.org/wiki/European_Parliament_election,_2014_(France)",74,46544712,19747893,18955761,,782,219,European Parliament
825,54,25/05/2014,"http://en.wikipedia.org/wiki/European_Parliament_election,_2014_(Germany)",96,61998824,29843798,29355092,,800,231,European Parliament
845,44,22/05/2014,"http://en.wikipedia.org/wiki/European_Parliament_election,_2014_%28United_Kingdom%29",73,46481532,16545761,16454949,,582,410,European Parliament
20,43,21/06/1981,"http://en.wikipedia.org/wiki/French_legislative_election,_1981",474,35536041,25182031,24822945,,496,677,Parliamentary election
25,5,18/02/1990,"http://en.wikipedia.org/wiki/Japanese_general_election,_1990",512,90322908,66215906,65704311,Parliament was dissolved on 18 June 1993 following the fall of the Miyazawa cabinet.,506,,Parliamentary election
40,44,10/10/1974,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1974",635,40072970,29226810,29189104,,568,,Parliamentary election
53,5,05/12/1976,"http://en.wikipedia.org/wiki/Japanese_general_election,_1976",511,77926588,57231992,56612765,,333,,Parliamentary election
57,5,18/07/1993,"http://en.wikipedia.org/wiki/Japanese_general_election,_1993",511,94866020,63547819,62804145,,25,,Parliamentary election
75,43,10/11/1946,"http://en.wikipedia.org/wiki/French_legislative_election,_November_1946",544,25052523,19565743,19203071,"New election on 10 November 1946 for second constituent assembly.Seats total excludes 75 seats from overseas territories.",348,,Parliamentary election
76,29,18/06/1962,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1962",265,9700325,7772656,7699901,,286,,Parliamentary election
91,29,25/06/1968,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1968",264,10860888,8217916,8125996,,282,,Parliamentary election
93,54,27/09/2009,"http://en.wikipedia.org/wiki/German_federal_election,_2009",622,62168489,44005575,43371190,,118,231,Parliamentary election
95,54,19/11/1972,"http://en.wikipedia.org/wiki/West_German_federal_election,_1972",496,41446302,37761589,37459750,,447,,Parliamentary election
96,29,21/11/1988,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1988",295,17639001,13281191,13281191,,159,,Parliamentary election
102,44,25/10/1951,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1951",625,34919331,,28596594,,625,,Parliamentary election
103,54,06/09/1953,"http://en.wikipedia.org/wiki/West_German_federal_election,_1953",487,33120940,28479550,27551272,Election on 6 September 1953 with modified electoral rules.,581,,Parliamentary election
112,29,27/06/1949,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1949",262,7893629,5903572,5848971,,189,,Parliamentary election
113,5,22/06/1980,"http://en.wikipedia.org/wiki/Japanese_House_of_Councillors_election,_1980",511,80925034,60338440,59028837,,433,,Parliamentary election
118,54,18/09/2005,"http://en.wikipedia.org/wiki/German_federal_election,_2005",614,61870711,48044134,47287988,Early election on 18 September 2005 after PM Schrí_der lost a vote of confidence.,385,18,Parliamentary election
137,29,23/01/2006,"http://en.wikipedia.org/wiki/Canadian_federal_election,_2006",308,23054615,14908703,14817159,Parliament was dissolved on 7 September 2008 following a request by PM Harper.,240,,Parliamentary election
138,5,18/12/1983,"http://en.wikipedia.org/wiki/Japanese_House_of_Councillors_election,_1983",511,84252608,57238897,56779701,,113,,Parliamentary election
139,29,18/02/1980,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1980",282,15890416,11015514,10947914,,683,,Parliamentary election
159,29,04/09/1984,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1984",282,16774941,12638424,12548721,,139,,Parliamentary election
161,44,08/10/1959,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1959",630,35397304,,27862652,,678,,Parliamentary election
163,54,03/10/1976,"http://en.wikipedia.org/wiki/West_German_federal_election,_1976",496,42058015,38165753,37822500,,95,,Parliamentary election
171,43,17/06/2007,"http://en.wikipedia.org/wiki/French_legislative_election,_2007",577,43895833,26521822,26026465,,403,160,Parliamentary election
189,29,11/06/1945,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1945",245,6952445,5305193,5246130,,854,,Parliamentary election
208,44,07/06/2001,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_2001",659,44403238,26467388,26367383,,315,686,Parliamentary election
223,44,15/10/1964,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1964",630,35894054,27698221,27657148,,161,,Parliamentary election
233,44,05/05/2005,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_2005",646,44245939,27336093,27148510,,208,196,Parliamentary election
237,5,25/06/2000,"http://en.wikipedia.org/wiki/Japanese_general_election,_2000",480,100492328,62757828,59844601,,628,,Parliamentary election
240,29,28/06/2004,"http://en.wikipedia.org/wiki/Canadian_federal_election,_2004",308,22466621,13683570,13564702,Parliament was dissolved on 29 November 2005 after Martin government lost a vote of confidence.,455,,Parliamentary election
243,44,03/05/1979,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1979",635,41095490,31233208,31221362,,40,,Parliamentary election
250,54,19/09/1965,"http://en.wikipedia.org/wiki/West_German_federal_election,_1965",496,38510395,33416207,32620442,,381,,Parliamentary election
276,29,08/07/1974,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1974",264,13620353,9671002,9505908,,552,,Parliamentary election
282,29,08/11/1965,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1965",265,10274904,7796728,7713316,,424,,Parliamentary election
286,29,31/03/1958,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1958",265,9131200,7357139,7287297,,562,,Parliamentary election
290,44,09/06/1983,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1983",650,42192999,30722241,30671137,,243,37,Parliamentary election
291,43,12/03/1967,"http://en.wikipedia.org/wiki/French_legislative_election,_1967",470,28242549,22910839,22389474,,407,,Parliamentary election
292,29,10/08/1953,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1953",265,8401691,5701963,5641272,,112,,Parliamentary election
293,43,17/06/1951,"http://en.wikipedia.org/wiki/French_legislative_election,_1951",544,24530523,19670655,19129004,"Election on 17 June 1951 under a new PR system with alliance bonus.Seats total excludes 83 seats from overseas territories.",75,,Parliamentary election
311,44,18/06/1970,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1970",630,39342013,28386145,28344798,,583,,Parliamentary election
312,43,02/01/1956,"http://en.wikipedia.org/wiki/French_legislative_election,_1956",544,26772255,22138046,21490886,Parliament was dissolved on 9 October 1962 after the fall of the Pompidou I cabinet.,293,,Parliamentary election
315,44,01/05/1997,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1997",659,43818324,31349744,31286284,,514,351,Parliamentary election
327,5,30/08/2009,"http://en.wikipedia.org/wiki/Japanese_general_election,_2009",480,103949442,71999121,70370255,Parliament was dissolved on 16 November 2012.,554,,Parliamentary election
331,54,15/09/1957,"http://en.wikipedia.org/wiki/West_German_federal_election,_1957",497,35400923,31072894,29905428,,103,,Parliamentary election
333,5,10/12/1972,"http://en.wikipedia.org/wiki/Japanese_general_election,_1972",491,73769637,52934894,52425079,,603,,Parliamentary election
345,5,20/11/1960,"http://en.wikipedia.org/wiki/Japanese_general_election,_1960",467,54312993,39920119,39509126,,645,,Parliamentary election
348,43,02/06/1946,"http://en.wikipedia.org/wiki/French_legislative_election,_June_1946",522,24696949,20215200,19880741,"New election on 2 June 1946 for constituent assembly.Seats total excludes Algeria and the overseas territories.",471,,Parliamentary election
357,43,11/03/1973,"http://en.wikipedia.org/wiki/French_legislative_election,_1973",473,29883738,24299210,23752321,,386,,Parliamentary election
367,5,29/01/1967,"http://en.wikipedia.org/wiki/Japanese_general_election,_1967",486,62992796,46599456,45996574,,640,,Parliamentary election
375,43,30/11/1958,"http://en.wikipedia.org/wiki/French_legislative_election,_1958",465,27244992,21026543,20492368,Early election on 23 and 30 November 1958 under new SMD majority-plurality electoral system.,312,,Parliamentary election
381,54,17/09/1961,"http://en.wikipedia.org/wiki/West_German_federal_election,_1961",499,37440715,32849624,31550901,,331,,Parliamentary election
385,54,22/09/2002,"http://en.wikipedia.org/wiki/German_federal_election,_2002",603,61432868,48582761,47996480,,679,417,Parliamentary election
386,43,30/06/1968,"http://en.wikipedia.org/wiki/French_legislative_election,_1968",470,28178087,22500524,22117138,,291,,Parliamentary election
403,43,16/06/2002,"http://en.wikipedia.org/wiki/French_legislative_election,_2002",577,40968484,26389875,25246045,,479,273,Parliamentary election
407,43,25/11/1962,"http://en.wikipedia.org/wiki/French_legislative_election,_1962",465,27540358,18918154,18333788,Early election 18 and 25 November 1962.,375,,Parliamentary election
424,29,08/04/1963,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1963",265,9910757,7958636,7894076,,76,,Parliamentary election
433,5,07/10/1979,"http://en.wikipedia.org/wiki/Japanese_general_election,_1979",511,80169924,54518515,54010121,Parliament was dissolved on 19 May 1980 after the government lost a confidence vote.,53,,Parliamentary election
445,54,02/12/1990,"http://en.wikipedia.org/wiki/German_federal_election,_1990",662,60436560,46995915,46455772,Election on 2 December 1990 for the entire country after German reunification.,588,296,Parliamentary election
447,54,28/09/1969,"http://en.wikipedia.org/wiki/West_German_federal_election,_1969",496,38677235,33523064,32966024,"Brandt lost his parliamentary majority but the opposition could not replace him in a constructive vote of no confidence. As a consequence, there was a cabinet without a majority but no new chancellor could be elected. Parliament was dissolved by President Heinemann on 22 September 1972 and snap elections were called (Schindler 1999, 1241).",250,,Parliamentary election
455,29,27/11/2000,"http://en.wikipedia.org/wiki/Canadian_federal_election,_2000",301,21243473,12997185,12997185,,650,,Parliamentary election
471,43,21/10/1945,"http://en.wikipedia.org/wiki/French_legislative_election,_1945",522,24622862,19657603,19189799,Election on 21 October 1945 under PR system.,983,,Parliamentary election
479,43,01/06/1997,"http://en.wikipedia.org/wiki/French_legislative_election,_1997",577,39217241,26635942,25334486,"Early election on 25 May 1997.",664,680,Parliamentary election
484,54,06/03/1983,"http://en.wikipedia.org/wiki/West_German_federal_election,_1983",498,44088935,39279529,38940687,,547,361,Parliamentary election
490,44,11/06/1987,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1987",650,43180573,32566523,32529578,,290,222,Parliamentary election
496,43,19/03/1978,"http://en.wikipedia.org/wiki/French_legislative_election,_1978",474,34424388,28656845,28098115,Parliament was dissolved after Mitterrand won the presidential election. ,357,,Parliamentary election
506,5,06/07/1986,"http://en.wikipedia.org/wiki/Japanese_House_of_Councillors_election,_1986",512,86426845,61707654,60448610,,138,,Parliamentary election
511,5,09/11/2003,"http://en.wikipedia.org/wiki/Japanese_general_election,_2003",480,102232944,61196418,59102827,,237,,Parliamentary election
514,44,09/04/1992,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1992",651,43275316,33653800,33614074,,490,682,Parliamentary election
546,29,25/10/1993,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1993",295,19906796,13863135,13667671,,96,,Parliamentary election
547,54,05/10/1980,"http://en.wikipedia.org/wiki/West_German_federal_election,_1980",497,43231741,38292176,37938981,"Parliament was dissolved on 6 January 1983 by President Carstens (Schindler 1999, 1246) after Kohl initiated a confidence vote to dissolve parliament.",163,361,Parliamentary election
552,29,30/10/1972,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1972",264,13000778,9974661,9916061,,91,,Parliamentary election
554,5,11/09/2005,"http://en.wikipedia.org/wiki/Japanese_general_election,_2005",480,103067966,69532186,67811069,,511,,Parliamentary election
562,29,10/06/1957,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1957",265,8902125,6680690,6605980,,292,,Parliamentary election
568,44,28/02/1974,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1974",635,39753863,31382414,31340162,,311,,Parliamentary election
581,54,14/08/1949,"http://en.wikipedia.org/wiki/West_German_federal_election,_1949",402,31207620,24495614,23732398,First post-war election on 14 August 1949.,,,Parliamentary election
582,44,06/05/2010,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_2010",650,45597461,29991471,29687604,,233,410,Parliamentary election
583,44,31/03/1966,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1966",630,35957245,27314646,27264747,,223,,Parliamentary election
588,54,25/01/1987,"http://en.wikipedia.org/wiki/West_German_federal_election,_1987",497,45327982,38225294,37867319,"Election on 25 January 1987.Regular dissolution of parliament in the fall of 1990.",484,610,Parliamentary election
595,54,16/10/1994,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(Germany)",672,60452009,47737999,47105174,,445,540,Parliamentary election
910,44,27/10/1931,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_1931",615,29952361,,21656373,,909,,Parliamentary election
601,29,14/10/2008,"http://en.wikipedia.org/wiki/Canadian_federal_election,_2008",308,23677639,13929093,13834294,Parliament was dissolved on 26 March 2011 (afp).,137,,Parliamentary election
603,5,27/12/1969,"http://en.wikipedia.org/wiki/Japanese_general_election,_1969",486,69260424,47442400,46989893,,367,,Parliamentary election
609,44,05/07/1945,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1945",640,33240391,,25095195,,911,,Parliamentary election
623,43,16/03/1986,"http://en.wikipedia.org/wiki/French_legislative_election,_1986",556,36614738,28736080,27490874,"Election on 16 March 1986 under new PR system.Parliament was dissolved on 14 May 1986 after reelection of President Mitterrand.",20,415,Parliamentary election
625,44,23/02/1950,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1950",625,34412255,,28771124,,609,,Parliamentary election
628,5,20/10/1996,"http://en.wikipedia.org/wiki/Japanese_general_election,_1996",500,97909655,57766696,,,57,,Parliamentary election
640,5,21/11/1963,"http://en.wikipedia.org/wiki/Japanese_general_election,_1963",467,58281678,41458946,41016541,,345,,Parliamentary election
643,43,12/06/1988,"http://en.wikipedia.org/wiki/French_legislative_election,_1988",555,37090454,24526787,23994849,Early election on 5 and 12 June 1988 under new (previously used) SMD majority-plurality electoral system.,623,415,Parliamentary election
645,5,22/05/1958,"http://en.wikipedia.org/wiki/Japanese_general_election,_1958",467,52013529,40042489,39751665,,692,,Parliamentary election
650,29,02/06/1997,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1997",301,19663478,13174698,12985874,,546,,Parliamentary election
664,43,28/03/1993,"http://en.wikipedia.org/wiki/French_legislative_election,_1993",577,38968660,26725840,25442403,Parliament was dissolved on 21 April 1997.,643,360,Parliamentary election
678,44,26/05/1955,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_1955",630,34852179,,26759729,,102,,Parliamentary election
679,54,27/09/1998,"http://en.wikipedia.org/wiki/German_federal_election,_1998",669,60762751,49947087,49308512,,595,540,Parliamentary election
683,29,22/05/1979,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1979",282,15233653,11541000,11455702,Parliament was dissolved on 14 December 1979 after the fall of the Clark cabinet.,276,,Parliamentary election
692,5,27/02/1955,"http://en.wikipedia.org/wiki/Japanese_general_election,_1955",467,49235375,37334338,37014837,Parliament was dissolved on 25 April 1958.,693,,Parliamentary election
693,5,19/04/1953,"http://en.wikipedia.org/wiki/Japanese_general_election,_1953",466,47090167,34946130,34602445,Parliament was dissolved on 24 January 1955.,694,,Parliamentary election
694,5,01/10/1952,"http://en.wikipedia.org/wiki/Japanese_general_election,_1952",466,46772584,35749709,35336705,Parliament was dissolved on 14 March 1953.,695,,Parliamentary election
695,5,23/01/1949,"http://en.wikipedia.org/wiki/Japanese_general_election,_1949",466,42105300,31174957,30592519,Parliament was dissolved on 28 August 1952.,696,,Parliamentary election
696,5,25/04/1947,"http://en.wikipedia.org/wiki/Japanese_general_election,_1947",466,40907493,27796840,27361607,,697,,Parliamentary election
697,5,10/04/1946,"http://en.wikipedia.org/wiki/Japanese_general_election,_1946",464,36878417,26582175,26100175,,,,Parliamentary election
703,29,02/05/2011,"http://en.wikipedia.org/wiki/Canadian_federal_election,_2011",308,24257592,14823408,14723980,,601,,Parliamentary election
782,43,17/06/2012,"http://en.wikipedia.org/wiki/French_legislative_election,_2012",577,46082104,26369126,25952859,,171,219,Parliamentary election
788,5,16/12/2012,"http://en.wikipedia.org/wiki/Japanese_general_election,_2012",480,103959866,61662947,60179888,Early election on 16 December 2012.,327,,Parliamentary election
800,54,22/09/2013,http://de.wikipedia.org/wiki/Bundestagswahl_2013,631,61946900,44309925,43726856,Election on 22 September 2013 and constituent session on 22 October.,93,231,Parliamentary election
850,5,14/12/2014,"http://en.wikipedia.org/wiki/Japanese_general_election,_2014",475,103962785,54735787,53334447,,788,,Parliamentary election
854,29,26/03/1940,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1940",245,6588888,4672531,4620260,,857,,Parliamentary election
856,44,07/05/2015,"http://en.wikipedia.org/wiki/United_Kingdom_general_election,_2015",650,46424006,,30691680,,582,845,Parliamentary election
857,29,14/10/1935,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1935",245,5918207,4452675,4406854,,858,,Parliamentary election
858,29,28/07/1930,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1930",245,5153971,3922481,3898527,,859,,Parliamentary election
859,29,14/09/1926,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1926",245,4665381,3273062,3256508,,860,,Parliamentary election
860,29,29/10/1925,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1925",245,4608636,3168412,3152525,,861,,Parliamentary election
861,29,06/12/1921,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1921",235,4435310,3139306,3123903,,862,,Parliamentary election
862,29,17/12/1917,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1917",235,2093799,1892741,1885329,,863,,Parliamentary election
863,29,21/09/1911,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1911",221,1820742,1314953,1307528,,885,,Parliamentary election
883,29,07/11/1900,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1900",213,1167402,,950763,,,,Parliamentary election
884,29,03/11/1904,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1904",214,1385490,,1030788,,883,,Parliamentary election
885,29,26/10/1908,"https://en.wikipedia.org/wiki/Canadian_federal_election,_1908",221,1463591,,1174709,,884,,Parliamentary election
905,44,14/12/1918,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_1918",707,21392322,,10786818,,,,Parliamentary election
906,44,15/11/1922,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_1922",615,20874456,,14392330,,905,,Parliamentary election
907,44,06/12/1923,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_1923",615,21283061,,14547695,,906,,Parliamentary election
908,44,29/10/1924,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_1924",615,21730988,,16640279,,907,,Parliamentary election
909,44,30/05/1929,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_1929",615,28854748,,22648375,,908,,Parliamentary election
911,44,14/11/1935,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_1935",615,31374449,,21997054,,910,,Parliamentary election
983,43,03/05/1936,"https://en.wikipedia.org/wiki/French_legislative_election,_1936",608,11768491,9937958,9847266,,984,,Parliamentary election
984,43,08/05/1932,"https://en.wikipedia.org/wiki/French_legislative_election,_1932",605,11561751,9652194,9576422,,985,,Parliamentary election
985,43,29/04/1928,"https://en.wikipedia.org/wiki/French_legislative_election,_1928",602,11395760,9548081,9469861,,991,,Parliamentary election
986,43,20/05/1906,"https://en.wikipedia.org/wiki/French_legislative_election,_1906",575,11340527,9050858,8814000,,987,,Parliamentary election
987,43,11/05/1902,"https://en.wikipedia.org/wiki/French_legislative_election,_1902",575,11109851,8795000,8412000,,,,Parliamentary election
988,43,08/05/1910,"https://en.wikipedia.org/wiki/French_legislative_election,_1910",580,11426736,8844978,8445773,,986,,Parliamentary election
989,43,10/05/1914,"https://en.wikipedia.org/wiki/French_legislative_election,_1914",586,11185078,8636567,8431056,,988,,Parliamentary election
990,43,16/10/1919,"https://en.wikipedia.org/wiki/French_legislative_election,_1919",616,11445702,8130803,8028903,,989,,Parliamentary election
991,43,25/05/1924,"https://en.wikipedia.org/wiki/French_legislative_election,_1924",574,11070360,9191809,9026837,,990,,Parliamentary election
994,29,19/10/2015,"https://en.wikipedia.org/wiki/Canadian_federal_election,_2015",338,25638379,17559353,,,703,,Parliamentary election
1013,44,08/06/2017,"https://en.wikipedia.org/wiki/United_Kingdom_general_election,_2017",650,46843896,,32203481,,856,845,Parliamentary election
1014,43,18/06/2017,"https://en.wikipedia.org/wiki/French_legislative_election,_2017",577,47570988,23167508,22654164,,782,824,Parliamentary election